440,c071,832,0,1513159797554
441,c073,3,0,1513159797554
442,rec015,103,0,1513159797554
443,c001,202,0,1513159797554
444,c002,303,0,1513159797554
445,c003,2020,0,1513159797554
446,c007,3,0,1513159797554
447,c041,401,0,1513159797554
448,c009,4101,0,1513159797554
449,c044,7,0,1513159797554
450,miui,326543,0,1513159797554
451,c100,1,0,1513159797554
452,test002,1,0,1513159797554
453,test003,3,0,1513159797554
454,koppo,1,0,1513159797554
455,m001,899,0,1513159797554
456,m002,38,0,1513159797554
457,c010,81,0,1513159797554
458,m003,66,0,1513159797554
459,c012,69,0,1513159797554
460,m005,356,0,1513159797554
461,c013,1,0,1513159797554
462,m006,3,0,1513159797554
463,c014,177,0,1513159797554
464,m007,19,0,1513159797554
465,c016,1171,0,1513159797554
466,c018,784,0,1513159797554
467,c019,2,0,1513159797554
468,o002,212925,0,1513159797554
469,o004,750,0,1513159797554
470,c020,20,0,1513159797554
471,o006,1,0,1513159797554
472,o008,5129,0,1513159797554
473,c024,25,0,1513159797554
474,c025,3415,0,1513159797554
475,c027,48,0,1513159797554
476,c028,11,0,1513159797554
477,rec001,2,0,1513159797554
478,c069,30,0,1513159797554
479,rec004,1028,0,1513159797554
480,mul001,69,0,1513159797554
481,o010,9502,0,1513159797554
482,mul003,538,0,1513159797554
483,o012,700,0,1513159797554
484,o013,9550,0,1513159797554
485,o014,214,0,1513159797554
486,o016,4,0,1513159797554
487,o018,1287,0,1513159797554
488,c035,42,0,1513159797554
489,debug,1,1,1513159797554
490,上海,1,1,1513159797554
491,rec015,1134,1,1513159797554
492,rec018,1,1,1513159797554
493,广东,1,1,1513159797554
494,c041,1166,1,1513159797554
495,c044,20,1,1513159797554
496,test30,1,1,1513159797554
497,miui,857095,1,1513159797554
498,119.4.255.59,1,1,1513159797554
499,118.122.60.7,1,1,1513159797554
500,1512463094565,1,1,1513159797554
501,1512462103680,1,1,1513159797554
502,42.80.231.191,1,1,1513159797554
503,o002,547097,1,1513159797554
504,o004,2505,1,1513159797554
505,o006,9,1,1513159797554
506,o008,13080,1,1513159797554
507,c069,52,1,1513159797554
508,中国,3,1,1513159797554
509,mul001,143,1,1513159797554
